23:39.956011-44030992,CALL,1,process=rphost,t:clientID=4836,Usr=DefUser,SessionID=1546,p:processName=bi_usp_prod_01,Func=Background job,Module=BI_ОбменСAPI,Method=BI_ВыгрузкаВOperaBuild,Memory=-13362102,MemoryPeak=678680589,InBytes=1527763,OutBytes=40962876
24:25.534043-44203027,CALL,1,process=rphost,t:clientID=4838,Usr=DefUser,SessionID=1546,p:processName=bi_usp_prod_01,Func=Background job,Module=BI_ОбменСAPI,Method=BI_ВыгрузкаВOperaBuild,Memory=-27265738,MemoryPeak=668971337,InBytes=1526089,OutBytes=40991111
24:38.050005-22421993,CALL,1,process=rphost,t:clientID=4839,Usr=DefUser,SessionID=1548,p:processName=bi_usp_prod_01,Func=Background job,Module=BI_ОбменДаннымиМеханизация,Method=BI_ОтправкаЖурналовВЦДСПарк,Memory=153187,MemoryPeak=4347425,InBytes=733004,OutBytes=746452
24:38.347024-22485009,CALL,1,process=rphost,t:clientID=4844,Usr=DefUser,SessionID=1550(1547),p:processName=bi_usp_prod_01,Func=Background job,Module=ИНАГРО_ОбменСПорталом,Method=ИНАГРО_ОбменДаннымиСПорталомПоУзлу,Memory=-497,MemoryPeak=6896105,InBytes=1890289,OutBytes=3293162
24:54.191084-38313042,CALL,1,process=rphost,t:clientID=4845,Usr=DefUser,SessionID=1551(1547),p:processName=bi_usp_prod_01,Func=Background job,Module=ИНАГРО_ОбменСПорталом,Method=ИНАГРО_ОбменДаннымиСПорталомПоУзлу,Memory=-487277,MemoryPeak=49564209,InBytes=42595841,OutBytes=54695722
25:11.409013-44671987,CALL,1,process=rphost,t:clientID=4848,Usr=DefUser,SessionID=1552,p:processName=bi_usp_prod_01,Func=Background job,Module=BI_ОбменСAPI,Method=BI_ВыгрузкаВOperaBuild,Memory=-16825816,MemoryPeak=675216875,InBytes=1526089,OutBytes=41551767
29:38.430033-22187971,CALL,1,process=rphost,t:clientID=4854,Usr=DefUser,SessionID=1548,p:processName=bi_usp_prod_01,Func=Background job,Module=BI_ОбменДаннымиМеханизация,Method=BI_ОтправкаЖурналовВЦДСПарк,Memory=-1267528,MemoryPeak=4033027,InBytes=1891336,OutBytes=3250653
29:38.977024-22437920,CALL,1,process=rphost,t:clientID=4859,Usr=DefUser,SessionID=1549(1546),p:processName=bi_usp_prod_01,Func=Background job,Module=ИНАГРО_ОбменСПорталом,Method=ИНАГРО_ОбменДаннымиСПорталомПоУзлу,Memory=-2453,MemoryPeak=6894149,InBytes=1890289,OutBytes=3293162
29:55.010014-38439004,CALL,1,process=rphost,t:clientID=4860,Usr=DefUser,SessionID=1550(1546),p:processName=bi_usp_prod_01,Func=Background job,Module=ИНАГРО_ОбменСПорталом,Method=ИНАГРО_ОбменДаннымиСПорталомПоУзлу,Memory=-247181,MemoryPeak=49598902,InBytes=42671051,OutBytes=52632487
34:39.894089-22110076,CALL,1,process=rphost,t:clientID=4872,Usr=DefUser,SessionID=1547,p:processName=bi_usp_prod_01,Func=Background job,Module=BI_ОбменДаннымиМеханизация,Method=BI_ОтправкаЖурналовВЦДСПарк,Memory=79946,MemoryPeak=4274450,InBytes=733270,OutBytes=1270252
34:40.612049-22531017,CALL,1,process=rphost,t:clientID=4875,Usr=DefUser,SessionID=1549(1546),p:processName=bi_usp_prod_01,Func=Background job,Module=ИНАГРО_ОбменСПорталом,Method=ИНАГРО_ОбменДаннымиСПорталомПоУзлу,Memory=442080,MemoryPeak=8112029,InBytes=731957,OutBytes=897429
34:56.395044-38283029,CALL,1,process=rphost,t:clientID=4876,Usr=DefUser,SessionID=1550(1546),p:processName=bi_usp_prod_01,Func=Background job,Module=ИНАГРО_ОбменСПорталом,Method=ИНАГРО_ОбменДаннымиСПорталомПоУзлу,Memory=-223958,MemoryPeak=49323739,InBytes=42595841,OutBytes=52580866
39:40.202082-23125042,CALL,1,process=rphost,t:clientID=4881,Usr=DefUser,SessionID=1546,p:processName=bi_usp_prod_01,Func=Background job,Module=BI_ОбменДаннымиМеханизация,Method=BI_ОтправкаЖурналовВЦДСПарк,Memory=-2984,MemoryPeak=4187628,InBytes=1892237,OutBytes=3142428
39:42.827024-25328993,CALL,1,process=rphost,t:clientID=4887,Usr=DefUser,SessionID=1547(1548),p:processName=bi_usp_prod_01,Func=Background job,Module=ИНАГРО_ОбменСПорталом,Method=ИНАГРО_ОбменДаннымиСПорталомПоУзлу,Memory=-4648,MemoryPeak=6891952,InBytes=1890289,OutBytes=3293162
40:00.936024-43406015,CALL,1,process=rphost,t:clientID=4888,Usr=DefUser,SessionID=1548(1548),p:processName=bi_usp_prod_01,Func=Background job,Module=ИНАГРО_ОбменСПорталом,Method=ИНАГРО_ОбменДаннымиСПорталомПоУзлу,Memory=13625432,MemoryPeak=49496929,InBytes=42596476,OutBytes=53404066
40:10.483039-44344022,CALL,1,process=rphost,t:clientID=4889,Usr=DefUser,SessionID=1549,p:processName=bi_usp_prod_01,Func=Background job,Module=BI_ОбменСAPI,Method=BI_ВыгрузкаВOperaBuild,Memory=-25173850,MemoryPeak=666869049,InBytes=1526089,OutBytes=43196506
40:55.530000-45031982,CALL,1,process=rphost,t:clientID=4890,Usr=DefUser,SessionID=1546,p:processName=bi_usp_prod_01,Func=Background job,Module=BI_ОбменСAPI,Method=BI_ВыгрузкаВOperaBuild,Memory=-20974003,MemoryPeak=675263072,InBytes=1526862,OutBytes=40720789
